,Team,Posicao,Club,#,Birth Date,FIFA Popular Name,#
320,Argentina,FW,Manchester City FC (ENG),19,07.10.1990,COATES Sebastian,19
321,Argentina,FW,Manchester City FC (ENG),19,14.10.1986,KHALIFA Saber,19
322,Argentina,FW,Manchester City FC (ENG),19,08.08.1992,DRMIC Josip,19
323,Argentina,FW,Manchester City FC (ENG),19,11.05.1991,ROHDEN Marcus,19
324,Argentina,FW,Manchester City FC (ENG),19,07.10.1988,COSTA Diego,19
325,Argentina,FW,Manchester City FC (ENG),19,23.12.1997,JOVIC Luka,19
326,Argentina,FW,Manchester City FC (ENG),19,19.12.1994,NIANG Mbaye,19
327,Argentina,FW,Manchester City FC (ENG),19,14.09.1994,FAHAD ALMUWALLAD,19
328,Argentina,FW,Manchester City FC (ENG),19,19.07.1984,SAMEDOV Alexander,19
329,Argentina,FW,Manchester City FC (ENG),19,27.05.1991,MARIO RUI,19
330,Argentina,FW,Manchester City FC (ENG),19,20.05.1994,ZIELINSKI Piotr,19
331,Argentina,FW,Manchester City FC (ENG),19,07.04.1990,YOTUN Yoshimar,19
332,Argentina,FW,Manchester City FC (ENG),19,18.12.1987,QUINTERO Alberto,19
333,Argentina,FW,Manchester City FC (ENG),19,20.04.1988,OGU John,19
334,Argentina,FW,Manchester City FC (ENG),19,01.06.1997,EN NESYRI Youssef,19
335,Argentina,FW,Manchester City FC (ENG),19,12.01.1984,PERALTA Oribe,19
336,Argentina,FW,Manchester City FC (ENG),19,27.02.1990,KIM Younggwon,19
337,Argentina,FW,Manchester City FC (ENG),19,12.04.1990,SAKAI Hiroki,19
338,Argentina,FW,Manchester City FC (ENG),19,20.06.1996,HOSSEINI Majid,19
339,Argentina,FW,Manchester City FC (ENG),19,25.02.1988,GISLASON Rurik,19
340,Argentina,FW,Manchester City FC (ENG),19,28.02.1990,RUDY Sebastian,19
341,Argentina,FW,Manchester City FC (ENG),19,29.07.1992,SIDIBE Djibril,19
342,Argentina,FW,Manchester City FC (ENG),19,31.10.1997,RASHFORD Marcus,19
343,Argentina,FW,Manchester City FC (ENG),19,13.07.1985,ABDALLA SAID,19
344,Argentina,FW,Manchester City FC (ENG),19,27.05.1986,SCHONE Lasse,19
345,Argentina,FW,Manchester City FC (ENG),19,25.02.1989,BADELJ Milan,19
346,Argentina,FW,Manchester City FC (ENG),19,01.01.1988,WASTON Kendall,19
347,Argentina,FW,Manchester City FC (ENG),19,26.01.1993,BORJA Miguel,19
348,Argentina,FW,Manchester City FC (ENG),19,09.08.1988,WILLIAN,19
349,Argentina,FW,Manchester City FC (ENG),19,16.07.1987,DEMBELE Moussa,19
350,Argentina,FW,Manchester City FC (ENG),19,27.07.1992,RISDON Joshua,19
351,Argentina,FW,Manchester City FC (ENG),19,02.06.1988,AGUERO Sergio,19
352,Argentina,FW,Juventus FC (ITA),9,24.01.1987,SUAREZ Luis,9
353,Argentina,FW,Juventus FC (ITA),9,18.09.1990,BADRI Anice,9
354,Argentina,FW,Juventus FC (ITA),9,22.02.1992,SEFEROVIC Haris,9
355,Argentina,FW,Juventus FC (ITA),9,17.08.1986,BERG Marcus,9
356,Argentina,FW,Juventus FC (ITA),9,06.03.1991,RODRIGO,9
357,Argentina,FW,Juventus FC (ITA),9,16.09.1994,MITROVIC Aleksandar,9
358,Argentina,FW,Juventus FC (ITA),9,16.12.1987,DIOUF Mame,9
359,Argentina,FW,Juventus FC (ITA),9,16.07.1992,HATAN BAHBIR,9
360,Argentina,FW,Juventus FC (ITA),9,17.06.1990,DZAGOEV Alan,9
361,Argentina,FW,Juventus FC (ITA),9,06.11.1995,ANDRE SILVA,9
362,Argentina,FW,Juventus FC (ITA),9,21.08.1988,LEWANDOWSKI Robert,9
363,Argentina,FW,Juventus FC (ITA),9,01.01.1984,GUERRERO Paolo,9
364,Argentina,FW,Juventus FC (ITA),9,31.10.1988,TORRES Gabriel,9
365,Argentina,FW,Juventus FC (ITA),9,16.06.1989,IGHALO Odion,9
366,Argentina,FW,Juventus FC (ITA),9,25.06.1993,EL KAABI Ayoub,9
367,Argentina,FW,Juventus FC (ITA),9,05.05.1991,JIMENEZ Raul,9
368,Argentina,FW,Juventus FC (ITA),9,14.04.1988,KIM Shinwook,9
369,Argentina,FW,Juventus FC (ITA),9,16.04.1986,OKAZAKI Shinji,9
370,Argentina,FW,Juventus FC (ITA),9,16.09.1987,EBRAHIMI Omid,9
371,Argentina,FW,Juventus FC (ITA),9,26.02.1991,SIGURDARSON Bjorn,9
372,Argentina,FW,Juventus FC (ITA),9,06.03.1996,WERNER Timo,9
373,Argentina,FW,Juventus FC (ITA),9,30.09.1986,GIROUD Olivier,9
374,Argentina,FW,Juventus FC (ITA),9,28.07.1993,KANE Harry,9
375,Argentina,FW,Juventus FC (ITA),9,26.02.1989,MARWAN MOHSEN,9
376,Argentina,FW,Juventus FC (ITA),9,15.01.1991,JORGENSEN Nicolai,9
377,Argentina,FW,Juventus FC (ITA),9,19.06.1991,KRAMARIC Andrej,9
378,Argentina,FW,Juventus FC (ITA),9,10.01.1985,COLINDRES Daniel,9
379,Argentina,FW,Juventus FC (ITA),9,10.02.1986,FALCAO Radamel,9
380,Argentina,FW,Juventus FC (ITA),9,03.04.1997,GABRIEL JESUS,9
381,Argentina,FW,Juventus FC (ITA),9,13.05.1993,LUKAKU Romelu,9
382,Argentina,FW,Juventus FC (ITA),9,22.07.1991,JURIC Tomi,9
383,Argentina,FW,Juventus FC (ITA),9,10.12.1987,HIGUAIN Gonzalo,9
384,Argentina,MF,Paris Saint-Germain FC (FRA),11,12.10.1986,STUANI Cristhian,11
385,Argentina,MF,Paris Saint-Germain FC (FRA),11,19.06.1995,BRONN Dylan,11
386,Argentina,MF,Paris Saint-Germain FC (FRA),11,19.04.1985,BEHRAMI Valon,11
387,Argentina,MF,Paris Saint-Germain FC (FRA),11,15.04.1992,GUIDETTI John,11
388,Argentina,MF,Paris Saint-Germain FC (FRA),11,01.07.1991,VAZQUEZ Lucas,11
389,Argentina,MF,Paris Saint-Germain FC (FRA),11,10.11.1985,KOLAROV Aleksandar,11
390,Argentina,MF,Paris Saint-Germain FC (FRA),11,29.03.1986,NDOYE Cheikh,11
391,Argentina,MF,Paris Saint-Germain FC (FRA),11,13.03.1986,ABDULMALEK ALKHAIBRI,11
392,Argentina,MF,Paris Saint-Germain FC (FRA),11,11.02.1994,ZOBNIN Roman,11
393,Argentina,MF,Paris Saint-Germain FC (FRA),11,10.08.1994,BERNARDO SILVA,11
394,Argentina,MF,Paris Saint-Germain FC (FRA),11,08.06.1988,GROSICKI Kamil,11
395,Argentina,MF,Paris Saint-Germain FC (FRA),11,25.07.1990,RUIDIAZ Raul,11
396,Argentina,MF,Paris Saint-Germain FC (FRA),11,26.11.1987,COOPER Armando,11
397,Argentina,MF,Paris Saint-Germain FC (FRA),11,12.12.1990,MOSES Victor,11
398,Argentina,MF,Paris Saint-Germain FC (FRA),11,01.08.1988,FAJR Faycal,11
399,Argentina,MF,Paris Saint-Germain FC (FRA),11,01.03.1989,VELA Carlos,11
400,Argentina,MF,Paris Saint-Germain FC (FRA),11,26.01.1996,HWANG Heechan,11
401,Argentina,MF,Paris Saint-Germain FC (FRA),11,06.05.1992,USAMI Takashi,11
402,Argentina,MF,Paris Saint-Germain FC (FRA),11,02.04.1988,AMIRI Vahid,11
403,Argentina,MF,Paris Saint-Germain FC (FRA),11,01.02.1989,FINNBOGASON Alfred,11
404,Argentina,MF,Paris Saint-Germain FC (FRA),11,31.05.1989,REUS Marco,11
405,Argentina,MF,Paris Saint-Germain FC (FRA),11,15.05.1997,DEMBELE Ousmane,11
406,Argentina,MF,Paris Saint-Germain FC (FRA),11,11.01.1987,VARDY Jamie,11
407,Argentina,MF,Paris Saint-Germain FC (FRA),11,13.04.1994,KAHRABA,11
408,Argentina,MF,Paris Saint-Germain FC (FRA),11,05.06.1991,BRAITHWAITE Martin,11
409,Argentina,MF,Paris Saint-Germain FC (FRA),11,16.11.1992,BROZOVIC Marcelo,11
410,Argentina,MF,Paris Saint-Germain FC (FRA),11,27.11.1988,VENEGAS Johan,11
411,Argentina,MF,Paris Saint-Germain FC (FRA),11,26.05.1988,CUADRADO Juan,11
412,Argentina,MF,Paris Saint-Germain FC (FRA),11,12.06.1992,PHILIPPE COUTINHO,11
413,Argentina,MF,Paris Saint-Germain FC (FRA),11,04.09.1993,CARRASCO Yannick,11
414,Argentina,MF,Paris Saint-Germain FC (FRA),11,17.12.1992,NABBOUT Andrew,11
415,Argentina,MF,Paris Saint-Germain FC (FRA),11,14.02.1988,DI MARIA Angel,11
416,Argentina,MF,Paris Saint-Germain FC (FRA),20,19.03.1990,URRETAVISCAYA Jonathan,20
417,Argentina,MF,Paris Saint-Germain FC (FRA),20,28.02.1994,CHAALELI Ghaylen,20
418,Argentina,MF,Paris Saint-Germain FC (FRA),20,18.01.1987,DJOUROU Johan,20
419,Argentina,MF,Paris Saint-Germain FC (FRA),20,03.07.1986,TOIVONEN Ola,20
420,Argentina,MF,Paris Saint-Germain FC (FRA),20,21.01.1996,ASENSIO Marco,20
421,Argentina,MF,Paris Saint-Germain FC (FRA),20,27.02.1995,MILINKOVIC-SAVIC Sergej,20
422,Argentina,MF,Paris Saint-Germain FC (FRA),20,08.03.1995,BALDE Keita,20
423,Argentina,MF,Paris Saint-Germain FC (FRA),20,14.10.1986,MUHANNAD ASIRI,20
424,Argentina,MF,Paris Saint-Germain FC (FRA),20,19.10.1983,GABULOV Vladimir,20
425,Argentina,MF,Paris Saint-Germain FC (FRA),20,26.09.1983,RICARDO QUARESMA,20
426,Argentina,MF,Paris Saint-Germain FC (FRA),20,03.06.1985,PISZCZEK Lukasz,20
427,Argentina,MF,Paris Saint-Germain FC (FRA),20,14.05.1994,FLORES Edison,20
428,Argentina,MF,Paris Saint-Germain FC (FRA),20,10.02.1990,GODOY Anibal,20
429,Argentina,MF,Paris Saint-Germain FC (FRA),20,01.01.1997,AWAZIEM Chidozie,20
430,Argentina,MF,Paris Saint-Germain FC (FRA),20,30.03.1987,BOUHADDOUZ Aziz,20
431,Argentina,MF,Paris Saint-Germain FC (FRA),20,11.02.1990,AQUINO Javier,20
432,Argentina,MF,Paris Saint-Germain FC (FRA),20,28.09.1991,JANG Hyunsoo,20
433,Argentina,MF,Paris Saint-Germain FC (FRA),20,11.05.1987,MAKINO Tomoaki,20
434,Argentina,MF,Paris Saint-Germain FC (FRA),20,01.01.1995,AZMOUN Sardar,20
435,Argentina,MF,Paris Saint-Germain FC (FRA),20,29.06.1984,HALLFREDSSON Emil,20
436,Argentina,MF,Paris Saint-Germain FC (FRA),20,02.05.1996,BRANDT Julian,20
437,Argentina,MF,Paris Saint-Germain FC (FRA),20,26.01.1993,THAUVIN Florian,20
438,Argentina,MF,Paris Saint-Germain FC (FRA),20,11.04.1996,ALLI Dele,20
439,Argentina,MF,Paris Saint-Germain FC (FRA),20,01.04.1989,SAMIR SAAD,20
440,Argentina,MF,Paris Saint-Germain FC (FRA),20,15.06.1994,POULSEN Yussuf Yurary,20
441,Argentina,MF,Paris Saint-Germain FC (FRA),20,06.05.1995,PJACA Marko,20
442,Argentina,MF,Paris Saint-Germain FC (FRA),20,18.02.1990,GUZMAN David,20
443,Argentina,MF,Paris Saint-Germain FC (FRA),20,18.01.1993,QUINTERO Juan,20
444,Argentina,MF,Paris Saint-Germain FC (FRA),20,02.10.1991,ROBERTO FIRMINO,20
445,Argentina,MF,Paris Saint-Germain FC (FRA),20,28.11.1990,BOYATA Dedryck,20
446,Argentina,MF,Paris Saint-Germain FC (FRA),20,05.01.1992,SAINSBURY Trent,20
447,Argentina,MF,Paris Saint-Germain FC (FRA),20,09.04.1996,LO CELSO Giovani,20
448,Argentina,MF,CA Independiente (ARG),13,05.03.1994,SILVA Gaston,13
449,Argentina,MF,CA Independiente (ARG),13,18.03.1992,SASSI Ferjani,13
450,Argentina,MF,CA Independiente (ARG),13,25.08.1992,RODRIGUEZ Ricardo,13
451,Argentina,MF,CA Independiente (ARG),13,07.02.1987,SVENSSON Gustav,13
452,Argentina,MF,CA Independiente (ARG),13,03.10.1994,ARRIZABALAGA Kepa,13
453,Argentina,MF,CA Independiente (ARG),13,26.09.1995,VELJKOVIC Milos,13
454,Argentina,MF,CA Independiente (ARG),13,06.03.1990,NDIAYE Alfred,13
455,Argentina,MF,CA Independiente (ARG),13,25.05.1992,YASIR ALSHAHRANI,13
456,Argentina,MF,CA Independiente (ARG),13,05.04.1987,KUDRIASHOV Fedor,13
457,Argentina,MF,CA Independiente (ARG),13,14.05.1997,RUBEN DIAS,13
458,Argentina,MF,CA Independiente (ARG),13,19.08.1989,RYBUS Maciej,13
459,Argentina,MF,CA Independiente (ARG),13,28.07.1995,TAPIA Renato,13
460,Argentina,MF,CA Independiente (ARG),13,14.02.1985,MACHADO Adolfo,13
461,Argentina,MF,CA Independiente (ARG),13,07.05.1992,NWANKWO Simeon,13
462,Argentina,MF,CA Independiente (ARG),13,24.04.1987,BOUTAIB Khalid,13
463,Argentina,MF,CA Independiente (ARG),13,13.07.1985,OCHOA Guillermo,13
464,Argentina,MF,CA Independiente (ARG),13,27.02.1989,KOO Jacheol,13
465,Argentina,MF,CA Independiente (ARG),13,15.07.1992,MUTO Yoshinori,13
466,Argentina,MF,CA Independiente (ARG),13,11.05.1991,KHANZADEH Mohammad Reza,13
467,Argentina,MF,CA Independiente (ARG),13,18.02.1995,RUNARSSON Runar,13
468,Argentina,MF,CA Independiente (ARG),13,13.09.1989,MUELLER Thomas,13
469,Argentina,MF,CA Independiente (ARG),13,29.03.1991,KANTE Ngolo,13
470,Argentina,MF,CA Independiente (ARG),13,10.03.1993,BUTLAND Jack,13
471,Argentina,MF,CA Independiente (ARG),13,01.07.1985,MOHAMED ABDELSHAFY,13
472,Argentina,MF,CA Independiente (ARG),13,23.04.1990,JORGENSEN Mathias,13
473,Argentina,MF,CA Independiente (ARG),13,28.11.1995,JEDVAJ Tin,13
474,Argentina,MF,CA Independiente (ARG),13,17.06.1988,WALLACE Rodney,13
475,Argentina,MF,CA Independiente (ARG),13,23.09.1994,MINA Yerry,13
476,Argentina,MF,CA Independiente (ARG),13,14.05.1994,MARQUINHOS,13
477,Argentina,MF,CA Independiente (ARG),13,25.06.1992,CASTEELS Koen,13
478,Argentina,MF,CA Independiente (ARG),13,15.09.1990,MOOY Aaron,13
479,Argentina,MF,CA Independiente (ARG),13,15.12.1992,MEZA Maximiliano,13
480,Argentina,DF,Sporting CP (POR),8,28.12.1995,NANDEZ Nahitan,8
481,Argentina,DF,Sporting CP (POR),8,23.06.1991,BEN YOUSSEF Fakhreddine,8
482,Argentina,DF,Sporting CP (POR),8,15.04.1992,FREULER Remo,8
483,Argentina,DF,Sporting CP (POR),8,28.07.1989,EKDAL Albin,8
484,Argentina,DF,Sporting CP (POR),8,08.01.1992,KOKE,8
485,Argentina,DF,Sporting CP (POR),8,21.04.1990,PRIJOVIC Aleksandar,8
486,Argentina,DF,Sporting CP (POR),8,21.12.1989,KOUYATE Cheikhou,8
487,Argentina,DF,Sporting CP (POR),8,26.06.1990,YAHIA ALSHEHRI,8
488,Argentina,DF,Sporting CP (POR),8,20.07.1989,GAZINSKY Iury,8
489,Argentina,DF,Sporting CP (POR),8,08.09.1986,JOAO MOUTINHO,8
490,Argentina,DF,Sporting CP (POR),8,02.02.1995,LINETTY Karol,8
491,Argentina,DF,Sporting CP (POR),8,23.11.1991,CUEVA Christian,8
492,Argentina,DF,Sporting CP (POR),8,23.10.1993,BARCENAS Edgar,8
493,Argentina,DF,Sporting CP (POR),8,09.11.1995,ETEBO Oghenekaro,8
494,Argentina,DF,Sporting CP (POR),8,27.01.1985,EL AHMADI Karim,8
495,Argentina,DF,Sporting CP (POR),8,21.07.1989,FABIAN Marco,8
496,Argentina,DF,Sporting CP (POR),8,30.10.1990,JU Sejong,8
497,Argentina,DF,Sporting CP (POR),8,09.05.1991,HARAGUCHI Genki,8
498,Argentina,DF,Sporting CP (POR),8,19.04.1992,POURALIGANJI Morteza,8
499,Argentina,DF,Sporting CP (POR),8,27.05.1988,BJARNASON Birkir,8
500,Argentina,DF,Sporting CP (POR),8,04.01.1990,KROOS Toni,8
501,Argentina,DF,Sporting CP (POR),8,12.11.1995,LEMAR Thomas,8
502,Argentina,DF,Sporting CP (POR),8,17.06.1990,HENDERSON Jordan,8
503,Argentina,DF,Sporting CP (POR),8,24.10.1988,TAREK HAMED,8
504,Argentina,DF,Sporting CP (POR),8,03.09.1991,DELANEY Thomas,8
505,Argentina,DF,Sporting CP (POR),8,06.05.1994,KOVACIC Mateo,8
506,Argentina,DF,Sporting CP (POR),8,18.02.1990,OVIEDO Bryan,8
507,Argentina,DF,Sporting CP (POR),8,06.01.1985,AGUILAR Abel,8
508,Argentina,DF,Sporting CP (POR),8,08.02.1988,RENATO AUGUSTO,8
509,Argentina,DF,Sporting CP (POR),8,22.11.1987,FELLAINI Marouane,8
510,Argentina,DF,Sporting CP (POR),8,25.09.1992,LUONGO Massimo,8
511,Argentina,DF,Sporting CP (POR),8,28.10.1991,ACUNA Marcos,8
512,Argentina,GK,Chelsea FC (ENG),23,25.03.1983,SILVA Martin,23
513,Argentina,GK,Chelsea FC (ENG),23,27.07.1992,SLITI Naim,23
514,Argentina,GK,Chelsea FC (ENG),23,10.10.1991,SHAQIRI Xherdan,23
515,Argentina,GK,Chelsea FC (ENG),23,23.06.1989,NORDFELDT Kristoffer,23
516,Argentina,GK,Chelsea FC (ENG),23,31.08.1982,REINA Pepe,23
517,Argentina,GK,Chelsea FC (ENG),23,24.01.1992,DMITROVIC Marko,23
518,Argentina,GK,Chelsea FC (ENG),23,05.09.1993,GOMIS Alfred,23
519,Argentina,GK,Chelsea FC (ENG),23,17.02.1992,MOTAZ HAWSAWI,23
520,Argentina,GK,Chelsea FC (ENG),23,08.08.1988,SMOLNIKOV Igor,23
521,Argentina,GK,Chelsea FC (ENG),23,15.03.1989,ADRIEN SILVA,23
522,Argentina,GK,Chelsea FC (ENG),23,14.03.1997,KOWNACKI Dawid,23
523,Argentina,GK,Chelsea FC (ENG),23,13.04.1995,AQUINO Pedro,23
524,Argentina,GK,Chelsea FC (ENG),23,24.02.1981,BALOY Felipe,23
525,Argentina,GK,Chelsea FC (ENG),23,28.10.1998,UZOHO Francis,23
526,Argentina,GK,Chelsea FC (ENG),23,01.07.1989,CARCELA Mehdi,23
527,Argentina,GK,Chelsea FC (ENG),23,15.08.1994,GALLARDO Jesus,23
528,Argentina,GK,Chelsea FC (ENG),23,25.09.1991,JO Hyeonwoo,23
529,Argentina,GK,Chelsea FC (ENG),23,27.02.1995,NAKAMURA Kosuke,23
530,Argentina,GK,Chelsea FC (ENG),23,21.03.1990,REZAEIAN Ramin,23
531,Argentina,GK,Chelsea FC (ENG),23,14.05.1987,SKULASON Ari,23
532,Argentina,GK,Chelsea FC (ENG),23,10.07.1985,GOMEZ Mario,23
533,Argentina,GK,Chelsea FC (ENG),23,27.02.1993,AREOLA Alphonse,23
534,Argentina,GK,Chelsea FC (ENG),23,19.04.1992,POPE Nick,23
535,Argentina,GK,Chelsea FC (ENG),23,18.12.1988,MOHAMED ELSHENAWY,23
536,Argentina,GK,Chelsea FC (ENG),23,04.02.1995,SISTO Pione,23
537,Argentina,GK,Chelsea FC (ENG),23,27.10.1984,SUBASIC Danijel,23
538,Argentina,GK,Chelsea FC (ENG),23,02.04.1990,MOREIRA Leonel,23
539,Argentina,GK,Chelsea FC (ENG),23,12.06.1996,SANCHEZ Davinson,23
540,Argentina,GK,Chelsea FC (ENG),23,17.08.1993,EDERSON,23
541,Argentina,GK,Chelsea FC (ENG),23,15.04.1995,DENDONCKER Leander,23
542,Argentina,GK,Chelsea FC (ENG),23,16.12.1992,ROGIC Tom,23
543,Argentina,GK,Chelsea FC (ENG),23,28.09.1981,CABALLERO Wilfredo,23
544,Argentina,DF,Sevilla FC (ESP),2,20.01.1995,GIMENEZ Jose,2
545,Argentina,DF,Sevilla FC (ESP),2,31.03.1989,BEN YOUSSEF Syam,2
546,Argentina,DF,Sevilla FC (ESP),2,16.01.1984,LICHTSTEINER Stephan,2
547,Argentina,DF,Sevilla FC (ESP),2,13.12.1986,LUSTIG Mikael,2
548,Argentina,DF,Sevilla FC (ESP),2,11.01.1992,CARVAJAL Dani,2
549,Argentina,DF,Sevilla FC (ESP),2,26.01.1984,RUKAVINA Antonio,2
550,Argentina,DF,Sevilla FC (ESP),2,15.06.1989,CISS Saliou,2
551,Argentina,DF,Sevilla FC (ESP),2,19.10.1987,MANSOUR ALHARBI,2
552,Argentina,DF,Sevilla FC (ESP),2,19.09.1990,MARIO FERNANDES,2
553,Argentina,DF,Sevilla FC (ESP),2,27.11.1981,BRUNO ALVES,2
554,Argentina,DF,Sevilla FC (ESP),2,21.09.1987,PAZDAN Michal,2
555,Argentina,DF,Sevilla FC (ESP),2,31.03.1984,RODRIGUEZ Alberto,2
556,Argentina,DF,Sevilla FC (ESP),2,11.02.1996,MURILLO Michael,2
557,Argentina,DF,Sevilla FC (ESP),2,18.05.1992,IDOWU Bryan,2
558,Argentina,DF,Sevilla FC (ESP),2,04.11.1998,HAKIMI Achraf,2
559,Argentina,DF,Sevilla FC (ESP),2,31.03.1987,AYALA Hugo,2
560,Argentina,DF,Sevilla FC (ESP),2,24.12.1986,LEE Yong,2
561,Argentina,DF,Sevilla FC (ESP),2,24.10.1994,UEDA Naomichi,2
562,Argentina,DF,Sevilla FC (ESP),2,10.09.1994,TORABI Mehdi,2
563,Argentina,DF,Sevilla FC (ESP),2,11.11.1984,SAEVARSSON Birkir,2
564,Argentina,DF,Sevilla FC (ESP),2,26.01.1992,PLATTENHARDT Marvin,2
565,Argentina,DF,Sevilla FC (ESP),2,28.03.1996,PAVARD Benjamin,2
566,Argentina,DF,Sevilla FC (ESP),2,28.05.1990,WALKER Kyle,2
567,Argentina,DF,Sevilla FC (ESP),2,01.01.1989,ALI GABR,2
568,Argentina,DF,Sevilla FC (ESP),2,06.06.1983,KROHN-DEHLI Michael,2
569,Argentina,DF,Sevilla FC (ESP),2,10.01.1992,VRSALJKO Sime,2
570,Argentina,DF,Sevilla FC (ESP),2,21.07.1983,ACOSTA Johnny,2
571,Argentina,DF,Sevilla FC (ESP),2,30.09.1986,ZAPATA Cristian,2
572,Argentina,DF,Sevilla FC (ESP),2,22.09.1984,THIAGO SILVA,2
573,Argentina,DF,Sevilla FC (ESP),2,02.03.1989,ALDERWEIRELD Toby,2
574,Argentina,DF,Sevilla FC (ESP),2,28.04.1994,DEGENEK Milos,2
575,Argentina,DF,Sevilla FC (ESP),2,18.03.1987,MERCADO Gabriel,2
576,Argentina,DF,Manchester City FC (ENG),17,07.02.1993,LAXALT Diego,17
577,Argentina,DF,Manchester City FC (ENG),17,10.05.1995,SKHIRI Ellyes,17
578,Argentina,DF,Manchester City FC (ENG),17,20.11.1996,ZAKARIA Denis,17
579,Argentina,DF,Manchester City FC (ENG),17,02.01.1992,CLAESSON Viktor,17
580,Argentina,DF,Manchester City FC (ENG),17,01.08.1987,ASPAS Iago,17
581,Argentina,DF,Manchester City FC (ENG),17,01.11.1992,KOSTIC Filip,17
582,Argentina,DF,Manchester City FC (ENG),17,27.10.1990,NDIAYE Pape Alioune,17
583,Argentina,DF,Manchester City FC (ENG),17,25.07.1984,TAISEER ALJASSAM,17
584,Argentina,DF,Manchester City FC (ENG),17,30.05.1996,GOLOVIN Aleksandr,17
585,Argentina,DF,Manchester City FC (ENG),17,29.11.1996,GONCALO GUEDES,17
586,Argentina,DF,Manchester City FC (ENG),17,19.02.1985,PESZKO Slawomir,17
587,Argentina,DF,Manchester City FC (ENG),17,02.03.1990,ADVINCULA Luis,17
588,Argentina,DF,Manchester City FC (ENG),17,07.09.1988,OVALLE Luis,17
589,Argentina,DF,Manchester City FC (ENG),17,25.12.1992,ONAZI Ogenyi,17
590,Argentina,DF,Manchester City FC (ENG),17,25.02.1986,DIRAR Nabil,17
591,Argentina,DF,Manchester City FC (ENG),17,06.01.1993,CORONA Jesus,17
592,Argentina,DF,Manchester City FC (ENG),17,10.08.1992,LEE Jaesung,17
593,Argentina,DF,Manchester City FC (ENG),17,18.01.1984,HASEBE Makoto,17
594,Argentina,DF,Manchester City FC (ENG),17,18.07.1992,TAREMI Mehdi,17
595,Argentina,DF,Manchester City FC (ENG),17,22.04.1989,GUNNARSSON Aron,17
596,Argentina,DF,Manchester City FC (ENG),17,03.09.1988,BOATENG Jerome,17
597,Argentina,DF,Manchester City FC (ENG),17,27.12.1985,RAMI Adil,17
598,Argentina,DF,Manchester City FC (ENG),17,21.11.1989,DELPH Fabian,17
599,Argentina,DF,Manchester City FC (ENG),17,11.07.1992,MOHAMED ELNENY,17
600,Argentina,DF,Manchester City FC (ENG),17,21.02.1991,STRYGER LARSEN Jens,17
601,Argentina,DF,Manchester City FC (ENG),17,21.05.1986,MANDZUKIC Mario,17
602,Argentina,DF,Manchester City FC (ENG),17,17.03.1992,TEJEDA Yeltsin,17
603,Argentina,DF,Manchester City FC (ENG),17,21.08.1992,MOJICA Johan,17
604,Argentina,DF,Manchester City FC (ENG),17,04.05.1985,FERNANDINHO,17
605,Argentina,DF,Manchester City FC (ENG),17,07.05.1997,TIELEMANS Youri,17
606,Argentina,DF,Manchester City FC (ENG),17,04.01.1999,ARZANI Daniel,17
607,Argentina,DF,Manchester City FC (ENG),17,12.02.1988,OTAMENDI Nicolas,17
608,Argentina,DF,Manchester United FC (ENG),16,08.06.1984,PEREIRA Maximiliano,16
609,Argentina,DF,Manchester United FC (ENG),16,14.09.1984,MATHLOUTHI Aymen,16
610,Argentina,DF,Manchester United FC (ENG),16,02.09.1986,FERNANDES Gelson,16
611,Argentina,DF,Manchester United FC (ENG),16,02.08.1994,KRAFTH Emil,16
612,Argentina,DF,Manchester United FC (ENG),16,26.02.1986,MONREAL Nacho,16
613,Argentina,DF,Manchester United FC (ENG),16,13.04.1996,GRUJIC Marko,16
614,Argentina,DF,Manchester United FC (ENG),16,05.04.1985,NDIAYE Khadim,16
615,Argentina,DF,Manchester United FC (ENG),16,24.03.1988,HUSSAIN ALMOQAHWI,16
616,Argentina,DF,Manchester United FC (ENG),16,17.10.1995,MIRANCHUK Anton,16
617,Argentina,DF,Manchester United FC (ENG),16,08.09.1994,BRUNO FERNANDES,16
618,Argentina,DF,Manchester United FC (ENG),16,14.12.1985,BLASZCZYKOWSKI Jakub,16
619,Argentina,DF,Manchester United FC (ENG),16,23.09.1994,CARTAGENA Wilder,16
620,Argentina,DF,Manchester United FC (ENG),16,13.12.1993,ARROYO Abdiel,16
621,Argentina,DF,Manchester United FC (ENG),16,08.03.1986,AKPEYI Daniel,16
622,Argentina,DF,Manchester United FC (ENG),16,31.03.1987,AMRABAT Noureddine,16
623,Argentina,DF,Manchester United FC (ENG),16,19.04.1990,HERRERA Hector,16
624,Argentina,DF,Manchester United FC (ENG),16,24.01.1989,KI Sungyueng,16
625,Argentina,DF,Manchester United FC (ENG),16,06.10.1990,YAMAGUCHI Hotaru,16
626,Argentina,DF,Manchester United FC (ENG),16,20.09.1987,GHOOCHANNEJHAD Reza,16
627,Argentina,DF,Manchester United FC (ENG),16,01.04.1983,SKULASON Olafur,16
628,Argentina,DF,Manchester United FC (ENG),16,03.03.1993,RUEDIGER Antonio,16
629,Argentina,DF,Manchester United FC (ENG),16,28.03.1985,MANDANDA Steve,16
630,Argentina,DF,Manchester United FC (ENG),16,21.02.1992,JONES Phil,16
631,Argentina,DF,Manchester United FC (ENG),16,10.07.1983,SHERIF EKRAMY,16
632,Argentina,DF,Manchester United FC (ENG),16,01.02.1989,LOSSL Jonas,16
633,Argentina,DF,Manchester United FC (ENG),16,05.01.1988,KALINIC Nikola,16
